Product,Count,Price
"Kirkland Signature All Chocolate Bag, 90 oz,",,$22.99
"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls",,$22.99
"Kirkland Signature Funhouse Treats, Variety Pack, 92 oz",,$22.99
"Kirkland Signature Coffee Organic Pacific Bold K-Cup Pod,",120-count,$37.99
"Kirkland Signature Ultra Clean Free & Clear HE Liquid Laundry Detergent, 146 loads, 194 fl oz",,$16.39
"Kirkland Signature Chewy Protein Bar, Peanut Butter & Semisweet Chocolate Chip, 1.41 oz,",42-Count,$16.99
"Kirkland Signature Almonds, Milk Chocolate, 3 lb",,$16.99
"Kirkland Signature Platinum Performance UltraShine Dishwasher Detergent Pacs,",115-count,$13.99
"Kirkland Signature Ultra Soft Bath Tissue, 2-Ply, 231 Sheets, 36 Rolls",,$24.99
"Kirkland Signature Coffee Organic House Decaf K-Cup Pod,",120-count,$37.99
"Kirkland Signature Raisins, Milk Chocolate, 3.4 lb",,$19.99
"Kirkland Signature Peanut Butter Filled Pretzel Nuggets, 55 oz",,$11.99
"Kirkland Signature Coffee Organic Breakfast Blend K-Cup Pod,",120-count,$37.99
"Kirkland Signature Belgian Luxury Chocolates,",46-count,$20.99
"Kirkland Signature Coffee Organic Summit Roast K-Cup Pod,",120-count,$37.99
"Kirkland Signature Soft & Chewy Granola Bars, 0.85 oz,",64-count,$12.59
"Kirkland Signature Protein Bar, Variety Pack, 2.12 oz,",20-count,$23.99
"Kirkland Signature Snacking Nuts, Variety Pack, 1.6 oz,",30-count,$16.99
"Kirkland Signature Ultra Clean HE Liquid Laundry Detergent, 146 loads, 194 fl oz",,$16.39
"Kirkland Signature European Cookies With Belgian Chocolate, Assortment, 49.4 oz",,$17.99
"Kirkland Signature Whole Bean Coffee, French Roast, 2.5 lbs",,$12.99
"Kirkland Signature, Organic Applesauce, 3.17 oz,",24-Count,$12.99
"Kirkland Signature Trail Mix Snack Packs, 2 oz,",28-count,$17.99
"Kirkland Signature, Organic Extra Virgin Olive Oil, 2 L",,$22.99
"Kirkland Signature Microwave Popcorn, 3.3 oz,",44-count,$16.99
"Kirkland Signature Colombian Supremo Coffee, Whole Bean, 3 lbs",,$20.99
"Kirkland Signature Organic Peanut Butter, 28 oz,",2-count,$12.99
"Kirkland Signature 100% Colombian Coffee, Dark Roast, 3 lbs",,$16.99
"Kirkland Signature Nut Bars, 1.41 oz,",30-count,$17.99
"Kirkland Signature Mature Formula Chicken, Rice and Egg Dog Food 40 lb.",,$46.99
"Kirkland Signature Cashew Clusters, 2 lbs",,$10.99
"Kirkland Signature 18-Gallon Compactor & Kitchen Trash Bag,",70-count,$17.99
"Kirkland Signature Creamy Almond Butter, 27 oz",,$7.49
"Kirkland Signature, Extra Virgin Italian Olive Oil, 2 L",,$25.99
"Kirkland Signature Colombian Cold Brew Coffee, 11 fl oz,",12-count,$18.99
"Kirkland Signature Nature's Domain Salmon & Sweet Potato Formula Dog Food, 35 lbs",,$49.99
"Kirkland Signature Fancy Whole Cashews, 2.5 lbs",,$14.99
"Kirkland Signature, Chicken Breast, 12.5 oz,",6-Count,$14.99
"Kirkland Signature Decaffeinated Coffee, Dark Roast, 3 lbs",,$17.49
"Kirkland Signature Walnut Halves, 3 lbs",,$8.99
"Kirkland Signature 10-Gallon Wastebasket Liner, Clear,",500-count,$13.99
"Kirkland Signature Shelled Pistachios, 1.5 lbs",,$16.99
"Kirkland Signature Flex-Tech 33-Gallon Trash Bag,",90-count,$23.99
"Kirkland Signature Olive Oil, 3 L",,$36.99
"Kirkland Signature Cutlery, Clear,",360-count,$18.49
"Kirkland Signature 50-Gallon Outdoor Trash Bag,",70-count,$27.99
"Kirkland Signature 100% Colombian Coffee, Dark Roast, 1.75 oz,",42-count,$28.99
"Kirkland Signature Nitrile Exam Gloves,",400-count,$27.99
"Kirkland Signature Supreme Whole Almonds, 3 lbs",,$11.99
"Kirkland Signature Pecan Halves, 2 lbs",,$12.99
"Kirkland Signature, Almond Flour, 3 lbs",,$11.99
"Kirkland Signature Facial Tissue, 3-Ply,",84-count,$19.99
"Kirkland Signature Ultra Shine Liquid Dish Soap, Fresh, 90 fl. oz.",,$9.99
"Kirkland Signature Organic Roasted Seaweed, 0.6 oz,",10-count,$12.49
"Kirkland Signature, Organic Almond Beverage, Vanilla, 32 fl oz,",6-Count,$9.99
"Kirkland Signature In-Shell Pistachios, 3 lbs",,$15.99
"Kirkland Signature, Almond Milk, 1 qt,",12-count,$14.99
"Kirkland Signature Adult Formula Chicken, Rice and Vegetable Dog Food, 40 lbs",,$46.99
Kirkland Signature Nature's Domain Puppy Formula Chicken & Pea Dog Food 20 lb.,,$23.99
"Kirkland Signature Dry Roasted Macadamia Nuts, 1.5 lbs",,$16.99
"Kirkland Signature Elegant Plastic Plates, Variety Pack, White,",50-count,$14.99
"Kirkland Signature, Whole Dried Blueberries, 20 oz",,$10.49
Kirkland Signature Chicken and Rice Cat Food 25 lbs.,,$26.99
"Kirkland Signature Trail Mix, 4 lbs",,$15.99
"Kirkland Signature Puppy Formula Chicken, Rice and Vegetable Dog Food 20 lbs",,$22.99
"Kirkland Signature Walkers Premium Shortbread Selection, 4.6 lbs",,$28.99
Kirkland Signature Nature's Domain Beef & Sweet Potato Dog Food 35 lb.,,$52.99
"Whole Wheel Parmigiano Reggiano, 72 lbs.",,$949.99
"Kirkland Signature Stretch-Tite Plastic Food Wrap, 12 in x 3,000 ft",,$19.99
"Kirkland Signature Adult Formula Lamb, Rice and Vegetable Dog Food 40 lb.",,$49.99
Kirkland Signature Small Formula Chicken & Vegetable Dog Food 20 lb.,,$21.99
Kirkland Signature Healthy Weight Cat Food 20 lbs.,,$19.99
"Kirkland Signature Super B-Complex with Electrolytes, 500 Tablets",,$18.49
"Kirkland Signature, Organic Quinoa, 4.5 lbs",,$10.99
Kirkland Signature Nature's Domain Cat Food 18 lbs.,,$25.99
"Kirkland Signature Organic Pure Maple Syrup, 33.8 oz",,$14.99
"Kirkland Signature Wild Flower Honey, 5 lbs",,$14.99
"Kirkland Signature Chinet 18 oz Plastic Cup, Red,",240-count,$13.99
"Kirkland Signature Fabric Softener Sheets,",250-count,$11.99
"Kirkland Signature Organic Animal Crackers, 4 lbs",,$12.99
"Kirkland Signature, Organic Chicken Stock, 32 fl oz,",6-Count,$11.99
"Kirkland Signature, Sunsweet Whole Dried Plums, 3.5 lbs",,$11.99
"Kirkland Signature Ultra Clean Laundry Detergent Pacs,",152-count,$18.99
"Kirkland Signature Facial Tissue, 2-Ply,",110-count,$34.99
"Kirkland Signature, Organic Virgin Coconut Oil, 84 fl oz",,$14.99
"Kirkland Signature Organic Raw Honey, 24 oz,",3-count,$14.99
"Kirkland Signature, Bacon Crumbles, 20 oz",,$10.99
"Kirkland Signature Ultra Fresh Premium Fabric Conditioner, 276 Loads, 187 fl oz",,$13.99
"Kirkland Signature, Minced California Garlic, 48 oz",,$8.49
"Kirkland Signature, Organic Tomato Sauce, 15 oz,",12-Count,$13.99
"Kirkland Signature, Pure Sea Salt, 30 oz",,$3.99
"Kirkland Signature Praline Pecans, 2.5 lbs",,$16.99
"Kirkland Signature, Organic Diced Tomatoes, 14.5 oz,",8-Count,$7.99
"Kirkland Signature Premium Extra Thick Steak Strips, 12 oz",,$12.99
"Kirkland Signature Reynolds Foodservice Aluminum Foil, Pre-Cut Single Sheets,",500-count,$15.99
"Kirkland Signature Dental Chews,",72-count,$36.99
"Kirkland Signature Dental Chews,",72-count,$36.99
"Kirkland Signature, Organic Sugar, 10 lbs",,$10.99
"Kirkland Signature Reynolds Foodservice Foil, 12 in x 1,000 ft",,$34.99
"Kirkland Signature Green Tea Bags, 1.5 g,",100-count,$12.99
"Kirkland Signature Chicken Meal & Rice Formula Dog Biscuits, 15 lbs",,$18.99
"Kirkland Signature, Organic Soy Beverage, Vanilla, 32 fl oz,",12-Count,$17.99
"Kirkland Signature, Organic Tomato Paste, 6 oz,",12-Count,$10.99
"Kirkland Signature Stretch-Tite Plastic Food Wrap, 11 7/8 in x 758 ft,",2-count,$14.99
"Kirkland Signature Reynolds Foodservice Foil HD, 18 in x 500 ft",,$35.99
"Kirkland Signature Non-Stick Parchment Paper Rolls, 15 in x 164 ft, 2-pack",,$14.99
"Kirkland Signature Organic Blue Agave, 36 oz,",2-count,$10.99
"Kirkland Signature, Black Pepper with Grinder, 6.3 oz,",2-Count,$9.99
"Kirkland Signature, Evaporated Milk, 12 fl oz,",12-Count,$13.99
"Kirkland Signature Organic No-Salt Seasoning, 14.5 oz",,$9.99
"Kirkland Signature, Crushed Red Pepper, 10 oz",,$4.79
"Kirkland Signature, Organic Soy Beverage, Plain, 32 fl oz,",12-Count,$17.99
"Kirkland Signature, Whole Black Peppercorn, 14.1 oz",,$5.99
"Kirkland Signature, Organic Salsa, Medium, 38 oz,",2-Count,$11.49
"Kirkland Signature Oxi Power Laundry Detergent Pacs,",110-count,$23.99
